district,year,month,avg_temp_max,avg_temp_min,sum_precipitation,avg_humidity,sum_sunshine_hours
Sembabule,2024,9,29.64,17.17,45.9,68.9,305.29
Nakapiripirit,2020,3,28.51,18.15,132.2,67.71,327.85
Kiryandongo,2022,9,27.61,17.67,132.9,79.83,308.0
Kiryandongo,2018,1,31.91,18.9,4.2,43.87,327.31
Kiryandongo,2024,2,32.37,20.3,37.9,57.17,294.12
Nakapiripirit,2024,9,28.4,17.75,58.1,61.33,321.02
Nakapiripirit,2018,12,28.76,17.46,56.7,52.77,332.52
Nakapiripirit,2023,4,28.23,17.38,111.4,65.57,313.77
Nakapiripirit,2020,12,28.93,17.13,2.7,46.39,336.03
Nakapiripirit,2020,11,27.29,16.8,44.9,64.57,324.77
Kiryandongo,2023,12,29.69,18.6,49.6,69.19,316.95
Namisindwa,2021,5,17.81,12.69,375.6,84.9,296.99
Namisindwa,2024,9,19.54,11.88,285.0,74.33,318.58
Namisindwa,2019,12,18.06,12.34,330.1,81.39,316.78
Lyantonde,2020,10,27.2,16.85,124.4,77.29,318.77
Sembabule,2024,6,30.55,18.09,6.9,56.93,326.2
Bundibugyo,2024,5,31.49,20.48,28.4,69.65,330.99
Namisindwa,2021,7,17.27,11.54,96.7,75.58,307.07
Nakapiripirit,2024,4,28.18,18.23,204.2,71.9,307.9
Namisindwa,2023,12,19.2,12.13,183.9,77.39,329.83
Kiryandongo,2019,5,27.74,19.3,112.7,81.68,320.28
Namisindwa,2022,6,17.52,11.06,136.5,78.43,323.18
Kiryandongo,2019,4,30.43,19.9,95.3,70.5,323.5
Namisindwa,2022,2,19.75,11.58,89.4,70.96,308.83
Nakapiripirit,2019,10,25.5,16.3,208.5,77.97,336.18
Nakapiripirit,2017,9,25.98,17.22,152.4,70.1,323.68
Nakapiripirit,2020,6,24.77,16.72,129.2,79.33,319.08
Kiryandongo,2021,8,27.82,18.12,130.4,73.65,333.25
Kiryandongo,2021,10,28.33,18.58,116.5,78.29,305.32
Lyantonde,2020,12,27.46,16.33,48.2,74.94,317.88
Kiryandongo,2020,9,26.85,18.29,170.1,83.23,310.51
Nakapiripirit,2018,9,27.68,16.94,27.7,57.77,331.57
Namisindwa,2021,10,19.55,12.18,221.8,75.03,321.5
Kiryandongo,2023,10,28.88,18.85,221.6,78.03,291.78
Kiryandongo,2022,5,28.21,18.69,78.8,76.32,323.84
Lyantonde,2020,6,27.77,16.86,34.6,68.27,327.59
Namisindwa,2019,8,18.26,11.83,109.7,75.87,323.01
Kiryandongo,2024,5,29.33,19.54,74.5,75.58,327.23
Nakapiripirit,2019,11,26.31,16.89,116.5,69.13,302.13
Rukungiri,2024,8,26.12,14.59,61.3,76.58,322.54
Namisindwa,2023,4,18.82,12.13,368.3,80.27,292.8
Kiryandongo,2022,6,27.73,17.7,71.0,71.07,317.96
Nakapiripirit,2023,8,29.06,17.2,48.9,52.84,345.98
Kiryandongo,2018,5,26.43,18.29,121.6,82.42,315.01
Nakapiripirit,2021,10,28.04,17.56,65.8,61.39,335.47
Nakapiripirit,2022,2,30.94,18.15,13.1,42.89,306.66
Namisindwa,2024,8,18.9,11.64,158.3,73.19,324.39
Namisindwa,2020,8,18.26,11.95,115.5,74.03,305.58
Sembabule,2024,5,29.12,18.05,52.2,71.97,315.15
Bundibugyo,2024,11,27.97,19.15,92.4,78.87,299.62
Namisindwa,2022,3,21.18,11.88,171.3,66.23,350.12
Nakapiripirit,2017,11,26.86,16.78,79.5,61.9,318.84
Namisindwa,2022,12,18.19,11.18,227.1,78.06,329.49
Rukungiri,2024,9,26.23,15.04,109.0,77.0,306.74
Lyantonde,2020,4,27.28,17.78,97.8,79.63,268.41
Kiryandongo,2021,5,26.66,18.5,113.2,81.23,301.37
Lyantonde,2020,2,28.93,17.81,52.8,71.69,289.47
Rukungiri,2022,7,25.86,14.38,28.9,57.45,301.39
Sembabule,2020,6,27.63,17.39,53.1,68.3,323.12
Kiryandongo,2018,6,26.22,17.7,92.0,80.77,301.11
Namisindwa,2024,11,18.43,11.27,523.8,82.07,302.17
Kiryandongo,2022,8,26.66,17.45,165.4,78.65,296.48
Nakapiripirit,2024,3,32.86,18.97,12.9,45.74,349.21
Nakapiripirit,2024,8,25.81,16.45,134.1,75.39,329.82
Bundibugyo,2024,6,29.28,19.12,73.4,69.77,334.45
Sembabule,2024,1,29.86,17.98,33.0,63.19,287.32
Kiryandongo,2024,3,33.0,20.3,49.5,60.03,337.36
Nakapiripirit,2021,2,30.25,18.6,13.5,43.46,301.54
Namisindwa,2023,10,20.0,12.01,330.4,75.74,324.12
Kiryandongo,2022,1,31.72,19.0,20.1,46.68,300.24
Kiryandongo,2022,3,32.06,19.7,55.7,58.23,322.97
Kiryandongo,2022,4,29.08,18.86,150.8,74.87,285.89
Rukungiri,2024,4,25.61,15.36,124.1,81.93,288.72
Kiryandongo,2018,9,28.13,18.37,77.7,76.27,316.03
Kiryandongo,2019,7,26.77,18.08,127.9,82.19,311.48
Kiryandongo,2022,11,27.52,18.02,132.5,80.8,265.14
Kiryandongo,2023,6,27.98,18.39,114.6,77.33,298.7
Kiryandongo,2018,10,27.71,18.73,157.6,79.03,310.03
Namisindwa,2020,1,19.08,12.39,243.5,73.84,321.7
Nakapiripirit,2018,5,24.6,17.07,238.0,79.65,319.38
Nakapiripirit,2018,1,30.31,18.38,0.1,35.39,312.65
Nakapiripirit,2018,11,29.4,17.75,28.0,54.23,329.55
Nakapiripirit,2019,8,24.8,16.72,221.7,77.19,334.03
Nakapiripirit,2017,2,30.43,18.55,6.5,43.61,315.25
Nakapiripirit,2022,9,27.0,16.28,66.2,65.4,325.73
Lyantonde,2020,3,27.9,17.78,97.0,77.71,280.48
Kiryandongo,2023,1,31.9,18.52,2.0,47.23,329.62
Nakapiripirit,2019,12,25.93,16.92,91.3,69.9,335.5
Namisindwa,2024,7,18.64,11.97,133.3,75.84,319.79
Namisindwa,2024,10,19.61,11.73,288.1,74.58,336.04
Nakapiripirit,2022,5,26.83,16.92,124.6,69.52,338.68
Bundibugyo,2019,2,32.4,20.24,14.2,58.5,301.93
Nakapiripirit,2023,6,28.04,17.29,47.1,63.8,327.79
Rukungiri,2024,7,26.35,14.47,82.0,70.45,323.62
Lyantonde,2020,11,25.79,16.49,114.2,82.03,268.77
Nakapiripirit,2023,7,28.26,17.43,39.7,59.77,344.44
Rukungiri,2020,6,24.91,14.49,61.4,73.2,312.92
Sembabule,2024,12,28.77,17.46,37.3,69.16,315.02
Kiryandongo,2024,1,31.38,19.45,12.4,53.39,311.73
Nakapiripirit,2019,1,31.04,18.69,6.3,36.39,341.46
Rukungiri,2020,11,23.62,14.21,253.3,86.0,270.64
Nakapiripirit,2017,12,30.18,18.05,0.3,36.84,332.8
Kiryandongo,2023,7,28.88,18.09,38.0,67.71,335.51
Kiryandongo,2018,12,29.42,18.61,46.8,68.06,323.18
Rukungiri,2020,12,23.72,14.12,219.8,81.68,318.74
Rukungiri,2024,2,26.04,15.37,73.7,74.34,280.24
Nakapiripirit,2018,10,27.88,17.31,131.0,60.94,335.63
Kiryandongo,2020,4,29.3,19.59,116.6,74.1,285.5
Kiryandongo,2023,8,29.79,18.45,73.0,68.71,321.9
Namisindwa,2020,2,19.78,12.46,214.5,75.31,314.06
Rukungiri,2022,3,26.11,14.36,117.4,72.45,316.16
Nakapiripirit,2023,5,28.28,17.55,35.1,61.97,339.04
Nakapiripirit,2024,11,27.89,17.5,174.6,64.77,318.05
Nakapiripirit,2020,4,27.39,17.94,170.9,69.53,300.34
Kiryandongo,2017,4,30.15,19.74,86.1,69.43,330.53
Namisindwa,2023,11,18.24,11.87,522.9,83.87,298.29
Nakapiripirit,2021,1,29.42,17.4,5.9,46.65,340.0
Sembabule,2020,4,26.87,18.2,123.1,80.73,267.31
Rukungiri,2022,2,25.41,14.52,53.9,71.89,260.06
Bundibugyo,2020,12,30.08,18.69,23.7,66.03,341.56
Rukungiri,2024,5,26.34,14.97,72.4,76.52,327.54
Lyantonde,2024,12,29.32,17.05,50.3,67.32,325.34
Namisindwa,2023,3,19.33,12.15,349.4,77.13,299.89
Nakapiripirit,2019,4,30.55,18.98,108.4,55.2,325.42
Namisindwa,2024,5,19.11,12.89,276.1,80.65,318.03
Rukungiri,2022,12,23.35,13.56,268.9,84.23,304.39
Rukungiri,2024,3,27.22,15.13,110.9,74.39,331.87
Nakapiripirit,2021,4,28.04,17.29,163.5,68.77,325.81
Lyantonde,2024,7,30.03,17.25,43.2,62.77,304.29
Rukungiri,2020,10,23.9,14.62,241.3,84.58,283.31
Lyantonde,2024,1,29.0,17.52,32.0,67.48,292.5
Sembabule,2024,2,29.86,18.36,47.2,67.45,277.79
Namisindwa,2022,4,19.26,12.19,395.9,76.63,296.14
Nakapiripirit,2019,5,26.61,17.77,186.6,74.94,326.33
Bundibugyo,2020,4,30.98,20.24,66.0,69.5,299.34
Namisindwa,2019,4,20.27,13.14,312.7,74.63,314.84
Sembabule,2020,1,29.64,18.31,51.6,64.97,283.64
Nakapiripirit,2023,1,30.82,17.68,1.0,33.19,345.63
Namisindwa,2020,4,18.83,13.04,370.3,79.5,277.57
Nakapiripirit,2024,1,29.5,18.41,33.8,53.19,330.44
Nakapiripirit,2017,5,26.74,17.76,79.1,70.77,340.22
Nakapiripirit,2018,8,25.78,16.47,95.2,69.03,337.82
Rukungiri,2020,4,24.97,15.47,123.4,81.67,285.79
Namisindwa,2020,10,18.33,12.07,302.6,78.71,298.04
Nakapiripirit,2020,1,28.09,18.02,90.8,56.0,323.94
Rukungiri,2024,10,25.25,14.6,179.0,80.87,293.42
Namisindwa,2023,6,18.64,12.17,215.6,78.83,314.51
Namisindwa,2022,9,18.88,11.3,262.9,75.27,319.61
Nakapiripirit,2017,7,25.28,17.12,140.3,73.9,337.44
Namisindwa,2024,12,18.97,10.49,157.9,75.26,338.48
Kiryandongo,2023,5,28.73,18.74,70.3,76.97,334.39
Kiryandongo,2019,8,26.8,18.26,175.6,83.0,313.35
Namisindwa,2023,9,19.03,11.85,251.2,76.53,315.74
Bundibugyo,2019,1,31.28,19.53,10.2,62.48,331.52
Bundibugyo,2020,7,25.84,18.04,239.0,81.39,298.05
Namisindwa,2021,8,18.15,11.88,241.5,75.29,320.56
Bundibugyo,2019,7,25.9,17.99,258.6,82.61,316.65
Kiryandongo,2024,10,28.38,18.39,138.0,78.42,307.71
Kiryandongo,2020,10,26.68,18.44,258.5,84.97,274.64
Nakapiripirit,2018,6,23.62,16.49,208.2,80.37,307.57
Nakapiripirit,2021,7,24.89,16.56,143.4,73.29,309.97
Bundibugyo,2024,10,28.63,18.89,80.7,76.0,320.54
Namisindwa,2019,3,21.96,12.39,112.9,61.35,348.41
Rukungiri,2022,1,24.55,14.34,62.5,74.0,292.95
Sembabule,2020,11,25.4,16.71,126.2,83.47,267.99
Kiryandongo,2019,6,26.3,18.4,202.1,84.63,263.94
Sembabule,2020,12,27.81,16.74,37.5,73.58,313.47
Nakapiripirit,2022,1,29.95,17.87,27.5,41.74,314.92
Nakapiripirit,2021,5,25.25,17.01,177.1,75.29,309.08
Kiryandongo,2022,2,32.19,19.51,10.1,47.82,286.38
Lyantonde,2024,11,27.43,16.73,106.8,77.83,289.88
Rukungiri,2022,9,24.24,13.61,141.8,81.57,296.48
Nakapiripirit,2019,6,23.95,16.98,171.1,81.87,302.47
Bundibugyo,2019,10,25.33,17.7,225.3,86.68,317.15
Rukungiri,2022,11,23.23,14.18,324.1,85.97,232.91
Namisindwa,2021,9,17.97,12.1,338.2,79.73,288.77
Nakapiripirit,2020,9,25.29,16.64,188.7,77.2,322.44
Kiryandongo,2021,9,26.97,18.29,251.3,83.37,287.98
Lyantonde,2024,6,30.46,17.27,7.8,56.33,327.6
Namisindwa,2019,1,20.63,11.98,74.3,61.9,344.92
Bundibugyo,2019,9,26.12,17.98,194.3,84.63,310.22
Nakapiripirit,2024,5,27.07,17.98,145.9,73.29,322.88
Namisindwa,2021,11,19.86,11.91,220.3,71.33,329.03
Nakapiripirit,2019,9,26.06,17.18,124.2,70.33,329.1
Namisindwa,2022,1,20.06,11.28,76.8,64.81,321.65
Kiryandongo,2017,6,28.33,18.81,58.3,74.03,325.71
Namisindwa,2021,4,18.49,12.64,506.9,84.77,302.1
Bundibugyo,2019,5,28.93,18.84,125.1,78.42,340.22
Nakapiripirit,2018,2,31.58,18.87,6.5,37.21,314.1
Nakapiripirit,2023,3,28.29,17.44,177.9,63.0,304.26
Namisindwa,2021,2,19.91,12.11,66.8,68.96,300.03
Rukungiri,2022,10,24.99,14.31,155.7,79.65,305.33
Kiryandongo,2024,11,27.48,18.31,169.1,79.5,277.96
Bundibugyo,2020,10,26.19,18.07,205.6,84.58,306.39
Kiryandongo,2019,9,27.28,18.59,177.2,82.9,312.75
Kiryandongo,2021,11,30.1,18.75,26.5,66.8,312.86
Bundibugyo,2020,6,27.3,18.99,93.8,76.57,312.38
Sembabule,2020,5,26.25,17.03,79.0,79.68,315.84
Kiryandongo,2019,2,33.25,20.4,26.1,49.89,305.97
Nakapiripirit,2023,10,29.33,18.25,161.5,61.35,329.37
Nakapiripirit,2019,2,31.8,18.91,10.2,36.32,316.7
Nakapiripirit,2022,7,25.22,16.34,117.7,71.26,334.52
Nakapiripirit,2021,12,30.53,18.25,2.2,42.97,327.63
Namisindwa,2020,9,18.7,11.83,178.9,76.47,315.08
Kiryandongo,2024,9,28.84,18.52,88.6,76.27,313.56
Namisindwa,2020,3,19.32,13.04,610.2,81.77,306.18
Namisindwa,2021,12,19.76,11.84,113.5,70.65,336.79
Kiryandongo,2019,3,32.83,20.0,31.0,54.1,344.22
Nakapiripirit,2019,3,31.97,19.11,4.9,39.42,352.26
Nakapiripirit,2018,4,24.4,17.1,254.5,78.03,269.54
Nakapiripirit,2018,3,26.88,17.51,66.1,65.71,313.19
Bundibugyo,2019,12,27.86,18.69,89.9,74.77,315.16
Sembabule,2020,3,27.62,18.15,110.4,78.13,284.95
Kiryandongo,2018,2,33.69,20.59,17.0,45.93,292.63
Nakapiripirit,2022,3,32.48,18.78,32.5,40.65,349.44
Namisindwa,2020,6,17.69,12.41,262.1,78.9,304.61
Kiryandongo,2020,5,27.75,19.08,100.0,80.23,317.04
Kiryandongo,2021,3,31.08,19.45,52.3,61.71,336.5
Kiryandongo,2019,12,26.99,18.2,138.8,78.32,306.58
Namisindwa,2022,5,18.39,11.92,382.0,81.19,329.12
Bundibugyo,2020,11,27.56,18.49,135.3,79.97,304.96
Bundibugyo,2020,3,31.29,20.22,78.9,68.68,305.46
Sembabule,2020,7,27.79,17.33,31.1,63.71,306.29
Kiryandongo,2020,11,27.24,18.27,178.4,79.2,305.1
Nakapiripirit,2021,9,25.57,16.8,348.5,74.73,312.95
Rukungiri,2020,1,24.25,15.35,97.9,76.84,287.96
Lyantonde,2020,5,26.75,16.98,57.8,78.61,326.76
Kiryandongo,2017,10,27.79,18.8,114.3,79.52,319.49
Nakapiripirit,2017,6,27.83,17.84,24.1,58.7,335.8
Namisindwa,2019,11,18.4,12.37,322.6,80.67,286.49
Namisindwa,2022,8,17.87,11.18,172.6,77.97,291.86
Nakapiripirit,2022,12,29.55,17.05,43.2,50.55,334.55
Namisindwa,2020,11,18.18,11.92,406.1,84.0,314.8
Sembabule,2024,8,29.61,17.1,38.8,66.94,314.38
Sembabule,2024,3,30.52,18.42,41.8,66.84,323.27
Lyantonde,2020,7,28.02,16.93,18.6,61.0,316.92
Kiryandongo,2019,10,26.08,18.3,261.2,86.9,304.71
Kiryandongo,2020,3,30.27,20.06,98.9,73.35,323.64
Bundibugyo,2020,2,32.21,20.57,26.2,59.72,296.47
Bundibugyo,2024,2,33.8,21.05,29.8,55.24,286.82
Namisindwa,2019,2,22.57,12.86,43.1,54.75,316.63
Rukungiri,2024,1,24.71,15.45,71.9,73.29,311.32
Lyantonde,2024,2,29.67,17.78,46.7,68.93,273.8
Namisindwa,2019,5,18.55,12.96,486.2,83.61,313.06
Kiryandongo,2018,3,28.87,18.88,105.2,75.71,302.53
Rukungiri,2020,8,25.75,14.76,85.3,74.84,314.48
Rukungiri,2024,6,27.43,14.47,23.4,60.6,330.41
Bundibugyo,2020,8,26.16,18.34,187.3,82.77,327.97
Bundibugyo,2019,11,26.99,18.2,118.2,80.63,296.39
Nakapiripirit,2024,12,30.28,17.56,9.5,46.26,339.72
Nakapiripirit,2022,10,29.33,17.28,44.1,54.06,330.7
Namisindwa,2023,1,20.16,10.48,36.1,59.29,349.3
Kiryandongo,2019,1,32.15,19.22,5.3,52.52,336.21
Kiryandongo,2017,8,26.58,18.36,161.6,80.9,335.02
Namisindwa,2019,10,18.16,11.49,399.8,82.9,300.89
Kiryandongo,2023,3,29.11,18.54,198.2,73.97,273.18
Kiryandongo,2018,7,26.92,17.56,58.3,73.29,329.06
Namisindwa,2024,2,20.54,12.41,146.9,73.17,313.72
Kiryandongo,2017,3,31.99,19.54,41.0,60.87,345.8
Nakapiripirit,2021,11,30.16,18.25,7.6,46.37,327.02
Kiryandongo,2020,6,27.51,18.58,99.2,76.57,313.14
Kiryandongo,2021,2,32.12,19.55,7.3,46.68,298.15
Rukungiri,2024,12,23.64,15.22,157.5,78.48,326.82
Kiryandongo,2023,9,28.92,18.55,122.5,75.9,294.7
Kiryandongo,2021,6,27.54,18.16,51.3,71.43,320.47
Sembabule,2024,11,26.75,17.23,108.2,79.6,282.69
Nakapiripirit,2024,7,26.55,17.3,152.6,70.68,324.23
Namisindwa,2020,7,17.18,12.03,160.4,77.29,274.49
Lyantonde,2024,5,28.89,17.63,61.8,72.35,315.65
Nakapiripirit,2020,2,28.75,18.11,19.4,55.48,322.36
Nakapiripirit,2017,10,26.98,17.32,165.3,64.65,333.13
Lyantonde,2020,9,27.78,16.72,92.1,74.57,321.12
Kiryandongo,2024,7,28.18,18.44,135.3,76.84,300.01
Namisindwa,2019,9,19.01,12.14,133.1,73.53,323.81
Kiryandongo,2020,7,26.69,18.02,144.2,78.81,293.54
Kiryandongo,2017,7,26.96,18.32,181.3,80.39,308.66
Sembabule,2020,8,28.4,17.59,45.8,68.87,316.25
Bundibugyo,2019,4,30.91,19.85,60.1,69.1,321.94
Namisindwa,2024,3,21.45,12.27,153.4,68.32,344.34
Kiryandongo,2018,8,26.7,17.86,184.7,79.94,306.46
Namisindwa,2022,10,19.88,11.71,204.1,71.55,325.52
Bundibugyo,2019,6,26.33,18.51,233.7,81.67,294.72
Kiryandongo,2017,11,27.93,18.09,89.8,74.37,304.96
Kiryandongo,2021,4,28.05,18.87,136.7,79.13,311.91
Nakapiripirit,2017,3,31.61,18.92,16.6,45.19,351.74
Namisindwa,2024,4,19.12,12.92,511.4,83.2,301.09
Rukungiri,2020,2,25.5,15.25,98.2,76.79,295.29
Rukungiri,2020,5,25.31,14.72,52.0,75.42,327.28
Namisindwa,2023,2,22.65,11.88,18.5,52.14,315.43
Rukungiri,2022,4,25.22,14.38,172.3,78.63,289.93
Nakapiripirit,2022,4,28.72,18.05,268.1,60.83,310.91
Bundibugyo,2020,9,25.98,18.11,173.8,83.5,305.91
Kiryandongo,2024,4,28.98,19.49,123.4,78.43,294.24
Kiryandongo,2019,11,27.03,18.42,150.9,81.47,287.79
Bundibugyo,2024,3,33.91,21.11,72.7,60.35,329.85
Kiryandongo,2020,1,29.89,19.2,49.2,58.06,313.94
Kiryandongo,2020,2,30.9,19.88,45.4,61.52,312.15
Bundibugyo,2024,8,27.28,18.58,124.2,79.97,308.65
Kiryandongo,2021,12,31.48,19.38,16.4,56.35,323.19
Nakapiripirit,2021,6,28.24,17.0,27.1,58.1,331.03
Bundibugyo,2020,5,28.25,19.3,127.9,79.23,326.3
Sembabule,2024,4,27.89,18.31,126.9,78.3,272.4
Kiryandongo,2017,12,31.22,18.61,3.8,53.9,331.94
Kiryandongo,2021,7,27.45,18.01,62.1,70.58,291.61
Nakapiripirit,2020,10,25.45,16.87,282.8,76.32,326.02
Rukungiri,2020,7,25.34,14.1,51.1,70.13,311.19
Nakapiripirit,2024,2,31.79,18.99,17.7,46.48,320.83
Bundibugyo,2024,9,27.71,18.65,95.0,79.77,309.04
Kiryandongo,2024,8,27.44,17.9,149.4,80.55,297.68
Kiryandongo,2018,11,28.94,18.78,77.1,73.8,309.74
Lyantonde,2024,9,29.35,16.62,49.9,69.0,313.6
Nakapiripirit,2020,8,24.38,16.52,329.1,81.13,312.36
Kiryandongo,2018,4,26.61,18.53,210.7,83.7,254.67
Nakapiripirit,2018,7,24.34,16.13,104.3,73.68,340.87
Namisindwa,2019,6,17.85,12.71,212.7,79.8,288.95
Nakapiripirit,2017,1,30.96,17.93,1.1,30.48,347.26
Kiryandongo,2022,10,28.47,18.45,77.5,75.03,302.62
Bundibugyo,2024,4,31.04,20.25,35.8,70.17,294.94
Bundibugyo,2020,1,30.56,20.26,20.4,58.84,327.86
Bundibugyo,2024,12,31.83,20.18,23.5,58.29,337.95
Nakapiripirit,2023,11,28.13,17.17,134.9,64.57,313.23
Namisindwa,2023,8,19.37,11.89,174.2,71.03,337.94
Lyantonde,2024,10,28.49,16.67,114.9,74.35,320.98
Sembabule,2020,2,28.91,18.23,51.0,70.66,292.41
Lyantonde,2020,1,29.05,17.75,65.2,68.1,282.62
Nakapiripirit,2022,11,29.53,17.43,51.5,55.0,319.85
Bundibugyo,2021,6,27.14,18.22,88.1,76.2,322.12
Kalangala,2024,5,24.94,20.63,170.2,78.77,317.01
Rukungiri,2017,8,24.97,14.58,76.6,75.26,297.45
Rukungiri,2017,10,24.85,14.22,132.6,78.68,319.83
Bundibugyo,2022,10,28.09,17.84,111.0,77.06,323.83
Bundibugyo,2022,3,32.77,19.93,35.0,56.81,323.74
Namisindwa,2017,11,18.6,11.78,262.5,75.87,307.31
Sembabule,2023,3,27.66,17.13,89.5,74.06,272.74
Ntungamo,2024,5,28.63,17.21,33.1,67.87,334.59
Rukungiri,2019,4,25.63,14.41,150.6,79.23,298.08
Rukungiri,2019,9,24.63,14.2,207.7,82.07,292.99
Bundibugyo,2018,12,28.65,18.84,115.4,73.1,301.17
Sembabule,2021,4,25.81,16.85,131.0,81.3,281.24
Namisindwa,2018,7,17.01,11.77,162.4,77.26,294.63
Lyantonde,2021,3,29.01,17.43,51.1,67.55,309.01
Namayingo,2024,4,25.41,19.74,266.8,82.87,309.81
Kaberamaido,2020,8,27.75,17.53,160.8,83.23,317.55
Rukungiri,2018,7,25.74,14.06,15.0,55.03,331.76
Lyantonde,2018,2,30.21,17.95,31.0,64.18,292.57
Sembabule,2023,10,29.4,17.84,76.1,70.23,301.67
Sembabule,2018,4,24.69,16.89,145.8,84.93,245.4
Sembabule,2018,7,27.72,17.2,22.5,58.45,338.01
Kaberamaido,2024,9,30.15,18.05,122.5,73.43,322.02
Lyantonde,2022,10,27.99,16.07,88.2,73.26,322.32
Kaberamaido,2020,1,30.2,18.52,65.9,62.58,316.99
Bundibugyo,2018,8,26.3,17.61,147.7,79.61,305.96
Lyantonde,2022,5,28.06,16.4,32.2,72.71,328.7
Lyantonde,2022,7,28.92,16.52,3.5,52.35,312.65
Lyantonde,2021,12,28.0,17.15,99.3,73.48,309.04
Nakasongola,2024,3,33.49,19.79,42.9,60.87,343.43
Rukungiri,2018,1,24.48,14.21,42.9,69.52,302.23
Sembabule,2017,9,26.71,16.85,126.7,78.97,288.95
Lyantonde,2017,1,30.2,16.55,13.0,61.26,348.02
Kaberamaido,2024,2,32.1,19.74,42.9,63.93,316.46
Kaberamaido,2024,3,33.0,20.03,52.8,64.52,347.03
Kaberamaido,2024,1,30.66,19.27,31.7,66.58,327.8
Kalangala,2024,2,25.45,21.31,128.5,75.34,294.1
Lyantonde,2022,11,25.85,16.3,150.8,83.13,277.23
Bundibugyo,2018,7,26.49,17.71,66.1,74.65,339.04
Sembabule,2019,10,25.45,16.83,150.2,82.32,277.54
Lyantonde,2019,8,28.09,16.85,67.3,70.87,321.06
