index,district,year,month,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
39,Kagadi,2025,4,27.67,17.77,80.8,157.2,287.36
40,Kakumiro,2025,4,27.28,16.93,79.3,105.0,290.3
41,Kalangala,2025,4,24.32,20.25,81.93,252.3,289.04
42,Kaliro,2025,4,27.31,18.64,83.9,202.7,282.6
43,Kalungu,2025,4,26.29,18.0,81.77,114.6,304.1
44,Kampala,2025,4,25.42,18.48,83.73,198.8,290.71
45,Kamuli,2025,4,26.57,18.87,83.87,178.5,285.57
46,Kamwenge,2025,4,27.19,17.66,78.83,199.4,301.61
47,Kanungu,2025,4,23.18,14.78,88.17,514.4,284.56
48,Kapchorwa,2025,4,23.02,14.71,73.87,295.8,298.8
49,Kasese,2025,4,29.62,19.96,62.17,125.7,299.27
50,Katakwi,2025,4,30.06,19.65,71.1,120.6,309.84
51,Kayunga,2025,4,26.91,18.29,85.97,213.4,290.53
52,Kibaale,2025,4,26.79,17.01,81.27,143.4,294.45
53,Kiboga,2025,4,26.98,18.26,81.7,125.5,294.37
54,Kibuku,2025,4,27.55,19.09,81.47,245.4,293.77
55,Kiruhura,2025,4,27.59,16.64,76.63,123.4,294.49
56,Kiryandongo,2025,4,28.4,18.74,78.77,140.0,289.21
57,Kisoro,2025,4,21.83,13.7,86.7,177.6,293.46
58,Kitgum,2025,4,31.29,19.97,67.93,101.1,300.79
59,Koboko,2025,4,27.76,18.74,73.67,112.3,303.41
60,Kole,2025,4,28.85,19.07,75.33,179.0,309.46
61,Kotido,2025,4,30.18,19.11,62.6,63.5,312.45
62,Kumi,2025,4,28.7,19.22,73.33,194.1,303.16
63,Kwania,2025,4,28.35,19.4,77.57,158.7,304.41
64,Kween,2025,4,26.73,17.54,66.43,123.9,301.21
65,Kyankwanzi,2025,4,28.12,18.49,80.9,137.6,283.11
66,Kyegegwa,2025,4,26.98,16.75,80.07,143.7,288.89
67,Kyenjojo,2025,4,26.53,17.14,79.37,120.4,291.97
68,Lamwo,2025,4,30.55,19.67,65.53,86.5,305.31
69,Lira,2025,4,28.39,19.18,77.63,153.8,306.5
70,Luuka,2025,4,26.84,18.96,83.1,207.8,291.38
71,Luwero,2025,4,26.81,18.3,84.27,163.9,289.67
72,Lwengo,2025,4,27.42,17.69,76.3,88.7,300.26
73,Lyantonde,2025,4,28.17,17.45,75.47,82.6,295.17
74,Manafwa,2025,4,26.49,17.79,80.7,392.8,289.1
75,Maracha,2025,4,28.01,18.95,72.73,91.9,305.57
76,Masaka,2025,4,25.86,17.69,83.47,118.1,294.2
77,Masindi,2025,4,27.65,18.44,80.63,156.2,286.37
78,Mayuge,2025,4,25.9,18.8,83.33,217.2,297.27
79,Mbale,2025,4,27.21,19.07,78.7,314.2,296.07
80,Mbarara,2025,4,27.61,16.03,74.63,101.5,293.29
81,Mitooma,2025,4,24.59,16.22,81.9,225.0,293.59
82,Mityana,2025,4,25.26,17.94,86.3,143.1,303.44
83,Moroto,2025,4,28.44,17.48,66.43,176.9,298.27
84,Moyo,2025,4,30.93,20.23,68.47,102.2,306.69
85,Mpigi,2025,4,24.91,17.34,85.6,212.8,300.55
86,Mubende,2025,4,27.69,17.21,77.7,110.3,289.17
87,Mukono,2025,4,25.63,17.94,85.03,185.4,288.91
88,Nakapiripirit,2025,4,27.87,17.86,68.3,182.8,311.7
89,Nakaseke,2025,4,27.31,18.21,83.13,139.8,295.9
90,Nakasongola,2025,4,28.02,18.7,81.57,116.8,287.83
91,Namayingo,2025,4,25.47,19.36,82.37,190.9,298.2
92,Namisindwa,2025,4,18.79,11.36,84.97,376.8,285.91
93,Namutumba,2025,4,27.42,18.71,82.13,244.7,282.14
94,Napak,2025,4,30.73,19.37,64.9,134.5,304.14
95,Nebbi,2025,4,29.47,19.85,68.9,122.9,306.24
